Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
EG,329.87,53.7,324.24,328.61,330.53,3.0,-0.4,-5.6,-4.5,24.0,376680,0.78,-9.0,8.9,2
EVRG,83.58,61.0,81.8,80.75,74.43,2.3,15.7,10.9,30.4,16.1,2185473,0.62,-1.0,35.4,5
ES,69.97,49.1,69.59,70.76,67.42,-4.4,4.3,-1.2,30.0,25.0,2671255,0.84,-7.2,30.0,3
EXC,48.57,50.7,48.71,47.6,44.85,-1.8,13.1,5.9,9.3,18.3,7178951,0.79,-3.4,18.1,4
EXE,98.99,34.8,106.65,106.16,105.08,-8.2,-2.1,-5.6,-1.3,31.8,3440316,0.84,-19.0,7.5,2
EXPE,228.09,47.7,232.16,229.01,228.92,0.2,-22.9,5.6,52.8,45.7,2097776,0.66,-24.1,56.8,2
EXPD,143.06,45.5,143.78,148.38,134.95,0.6,-10.0,23.7,31.5,30.5,1362937,0.69,-13.3,38.2,2
EXR,138.87,56.1,133.99,139.49,137.35,0.2,0.9,-0.6,8.6,24.9,1168970,0.83,-8.0,12.2,3
XOM,152.51,41.7,161.37,153.76,123.65,-0.7,23.2,37.2,52.9,22.9,17592090,1.2,-11.1,53.5,3
FFIV,289.81,49.4,292.08,283.86,287.24,2.5,7.6,-15.3,10.7,31.5,760025,0.84,-15.5,29.4,3
FDS,211.6,47.1,211.16,212.08,297.49,3.9,-27.8,-24.6,-49.5,36.1,695822,1.87,-54.6,11.9,1
FICO,922.37,28.8,1080.99,1251.67,1524.25,-15.7,-44.6,-46.0,-51.2,52.7,306932,3.54,-58.2,0.0,0
FAST,49.17,68.6,45.88,45.99,44.45,8.7,17.8,6.4,24.5,23.9,7025927,1.04,-1.4,27.2,4
FRT,109.05,66.7,104.81,104.98,97.84,4.6,8.4,14.7,26.4,18.2,738539,2.78,-0.3,26.4,4
FDX,374.08,60.7,357.47,363.2,278.92,5.9,20.2,59.3,84.0,26.8,1909799,0.6,-3.3,87.9,4
FIS,43.37,29.6,47.69,49.04,63.19,-12.0,-34.6,-35.8,-38.5,28.9,4135029,2.22,-46.2,0.0,0
FITB,49.31,61.5,45.75,48.65,44.88,14.1,1.0,14.6,50.9,26.2,7525401,1.0,-9.7,53.3,4
FSLR,203.47,53.1,195.24,208.73,219.64,3.0,-14.7,-13.2,61.6,62.7,3057698,0.53,-28.5,66.2,1
FE,51.43,59.9,50.53,49.72,45.15,1.2,16.3,12.3,31.8,14.6,4496406,0.68,-0.9,33.4,5
FISV,56.09,44.1,56.33,59.17,97.45,0.0,-19.7,-55.7,-73.1,59.9,7551197,0.69,-74.2,4.1,0
F,12.13,51.4,11.71,12.74,12.26,0.7,-13.7,7.9,36.7,30.3,78117466,0.36,-15.9,36.7,2
FTNT,76.7,38.5,81.53,81.67,84.66,-9.1,-3.2,-11.0,-21.5,39.2,6048177,2.05,-29.4,3.1,0
FTV,58.36,58.3,55.79,56.79,52.46,6.4,6.2,18.6,19.7,26.7,3789625,1.0,-5.6,25.8,4
FOXA,61.02,57.9,58.81,59.69,61.78,5.7,-16.8,4.2,26.0,27.7,3729540,0.8,-19.4,30.5,2
FOX,54.92,57.6,53.04,54.1,55.79,4.7,-16.9,4.9,21.6,27.0,1559764,0.75,-18.5,26.3,2
BEN,24.91,56.3,23.67,25.33,23.76,6.3,-1.5,8.4,47.1,26.9,4621604,0.97,-10.2,51.8,3
FCX,67.8,66.8,58.57,61.52,49.11,14.5,20.2,57.5,106.1,44.4,17100932,0.92,-1.5,108.0,4
GRMN,256.89,66.8,238.84,232.15,222.88,9.4,21.5,1.0,37.6,30.5,917700,0.78,-0.3,39.8,5
IT,143.72,34.5,155.99,160.49,239.83,-10.5,-42.1,-41.2,-64.1,49.0,1215289,1.3,-68.0,0.0,0
GE,308.35,54.0,293.47,311.75,294.44,0.5,-4.0,3.3,70.6,29.1,5275644,0.7,-10.7,73.8,3
GEHC,73.18,50.6,71.15,76.25,76.77,4.1,-16.1,-1.3,16.8,31.0,3782514,0.71,-16.9,21.3,1
GEV,991.32,69.4,884.58,842.21,668.73,19.2,59.3,56.6,209.3,46.9,2979570,0.73,0.0,217.3,5
GEN,17.89,28.0,19.52,21.5,26.27,-14.8,-33.3,-33.2,-25.4,28.6,4937327,1.28,-43.6,0.0,0
GNRC,207.03,54.3,199.76,204.82,176.09,1.4,35.5,20.4,87.8,49.1,1055652,0.41,-12.5,94.2,4
GD,335.15,38.0,347.05,350.18,333.06,-5.2,-4.5,-0.9,23.4,19.4,1213861,1.4,-8.3,28.4,2
GIS,35.59,28.9,36.63,41.45,45.32,-8.1,-18.9,-24.5,-35.1,23.3,6652405,1.15,-36.3,0.5,0
GM,76.42,52.9,74.4,77.85,68.01,4.0,-7.6,37.3,76.9,33.8,9051723,0.45,-11.3,76.9,3
GPC,107.51,48.1,103.97,117.67,126.33,0.5,-15.5,-16.8,-3.6,28.3,1330367,1.36,-27.3,11.5,1
GILD,138.99,45.9,139.82,144.36,123.75,-3.7,15.4,20.5,37.7,28.4,7281886,0.61,-10.3,47.2,2
