Date,close,vol_regime,combined_score,position_scalar,short_vol,long_vol,regime_str
2018-04-11,233.08233642578125,extreme_stress,2.0,0.5,0.2332,0.2113,sideways
2018-04-12,234.9999237060547,extreme_stress,2.0,0.5,0.2339,0.212,sideways
2018-04-13,234.31063842773438,calm,2.45,0.5,0.136,0.2115,sideways
2018-04-16,236.23709106445312,calm,2.45,0.5,0.1391,0.2117,sideways
2018-04-17,238.76451110839844,calm,3.0,1.0,0.1161,0.2128,bull_trend
2018-04-18,238.94119262695312,calm,2.45,1.0,0.092,0.2119,bull_trend
2018-04-19,237.61570739746094,calm,2.45,1.0,0.1114,0.2121,bull_trend
2018-04-20,235.60084533691406,calm,2.45,1.0,0.1326,0.2125,bull_trend
2018-04-23,235.5654754638672,calm,2.45,1.0,0.1167,0.2117,bull_trend
2018-04-24,232.39303588867188,calm,2.45,1.0,0.0939,0.2132,bull_trend
2018-04-25,232.96746826171875,calm,2.45,1.0,0.1015,0.2133,bull_trend
2018-04-26,235.3357391357422,calm,2.45,1.0,0.1474,0.2144,bull_trend
2018-04-27,235.556640625,calm,2.45,1.0,0.1356,0.213,bull_trend
2018-04-30,233.7451629638672,calm,2.45,1.0,0.1462,0.2131,bull_trend
2018-05-01,234.16043090820312,calm,2.45,1.0,0.1007,0.2123,bull_trend
2018-05-02,232.58749389648438,calm,2.45,1.0,0.1153,0.2126,bull_trend
2018-05-03,232.0748748779297,calm,2.45,1.0,0.0685,0.2126,bull_trend
2018-05-04,235.0794677734375,calm,2.45,1.0,0.1326,0.2101,bull_trend
2018-05-07,235.87478637695312,calm,2.45,1.0,0.1165,0.1927,bull_trend
2018-05-08,235.87478637695312,calm,2.45,1.0,0.1172,0.1886,bull_trend
2018-05-09,238.15467834472656,calm,3.0,1.0,0.1017,0.1892,bull_trend
2018-05-10,240.38165283203125,calm,3.0,1.0,0.0833,0.1738,bull_trend
2018-05-11,241.11500549316406,calm,3.0,1.0,0.0674,0.1715,bull_trend
2018-05-14,241.22994995117188,calm,3.0,1.0,0.0748,0.1692,bull_trend
2018-05-15,239.56861877441406,calm,3.0,1.0,0.1091,0.1698,bull_trend
2018-05-16,240.57603454589844,calm,3.0,1.0,0.0943,0.1679,bull_trend
2018-05-17,240.37277221679688,calm,3.0,1.0,0.0689,0.166,bull_trend
2018-05-18,239.7718963623047,calm,3.0,1.0,0.0646,0.166,bull_trend
2018-05-21,241.5745849609375,calm,3.0,1.0,0.0899,0.1662,bull_trend
2018-05-22,240.90296936035156,calm,3.0,1.0,0.0722,0.166,bull_trend
2018-05-23,241.56578063964844,calm,3.0,1.0,0.0689,0.1661,bull_trend
2018-05-24,241.0709228515625,calm,3.0,1.0,0.0712,0.163,bull_trend
2018-05-25,240.4965362548828,calm,2.45,1.0,0.0709,0.1614,bull_trend
2018-05-29,237.7305145263672,calm,3.0,1.0,0.0819,0.1611,bull_trend
2018-05-30,240.90296936035156,normal,2.3,1.0,0.1437,0.162,bull_trend
2018-05-31,239.42726135253906,normal,2.3,1.0,0.1469,0.1598,bull_trend
2018-06-01,241.7778778076172,normal,2.3,1.0,0.168,0.1606,bull_trend
2018-06-04,242.92665100097656,normal,2.3,1.0,0.1676,0.1593,bull_trend
2018-06-05,243.10336303710938,normal,2.3,1.0,0.1213,0.1592,bull_trend
2018-06-06,245.13595581054688,calm,3.0,1.0,0.1021,0.16,bull_trend
2018-06-07,245.10934448242188,calm,3.0,1.0,0.0703,0.1598,bull_trend
2018-06-08,245.83396911621094,calm,3.0,1.0,0.0539,0.1561,bull_trend
2018-06-11,246.16090393066406,calm,3.0,1.0,0.0537,0.1561,bull_trend
2018-06-12,246.4790802001953,calm,3.0,1.0,0.0526,0.1555,bull_trend
2018-06-13,245.6925506591797,calm,3.0,1.0,0.0367,0.1553,bull_trend
2018-06-14,246.3112030029297,calm,3.0,1.0,0.0388,0.1553,bull_trend
2018-06-15,245.9969940185547,calm,3.0,1.0,0.0368,0.1554,bull_trend
2018-06-18,245.49098205566406,calm,3.0,1.0,0.0377,0.1529,bull_trend
2018-06-19,244.55007934570312,calm,3.0,1.0,0.0395,0.1531,bull_trend
2018-06-20,244.96722412109375,calm,3.0,1.0,0.0421,0.1531,bull_trend
2018-06-21,243.4315948486328,calm,3.0,1.0,0.0471,0.1448,bull_trend
2018-06-22,243.87545776367188,calm,3.0,1.0,0.0559,0.1377,bull_trend
2018-06-25,240.5555877685547,normal,2.85,1.0,0.1017,0.1301,bull_trend
2018-06-26,241.0882110595703,normal,2.85,1.0,0.1111,0.1252,bull_trend
2018-06-27,239.0910186767578,normal,2.3,1.0,0.108,0.1263,bull_trend
2018-06-28,240.45799255371094,normal,2.85,1.0,0.1293,0.1243,bull_trend
